Player,Squad,Rating,user,player,rating,Nation
Dries Mertens,Napoli,3.1205211726384365,77,1615,3.120521,be
Julian Chabot,Sampdoria,2.832402234636872,84,1081,2.8324022,de
Julian Chabot,Sampdoria,2.832402234636872,84,1081,2.8324022,de
Gianluca Caprari,Hellas Verona,3.4212962962962963,80,961,3.4212964,it
Dejan Kulusevski,Juventus,2.8016194331983804,79,1064,2.8016195,se
Dejan Kulusevski,Juventus,2.8016194331983804,79,1064,2.8016195,se
Maghnes Akliouche,Monaco,2.5054545454545454,42,1531,2.5054545,fr
Gonçalo Borges,Porto,1.8169491525423729,24,2465,1.8169491000000002,pt
Luis Abram,Granada,1.89375,18,904,1.89375,pe
Tony Jantschke,M'Gladbach,2.2304832713754648,111,1345,2.2304833,de
Stefano Sensi,Sassuolo,2.731707317073171,78,1047,2.7317072999999996,it
Stefano Sensi,Sassuolo,2.731707317073171,78,1047,2.7317072999999996,it
Suat Serdar,Mainz 05,2.628571428571429,41,1003,2.6285715,de
Bilal Brahimi,Reims,2.3972602739726026,34,36,2.3972602000000003,dz
Bilal Brahimi,Reims,2.3972602739726026,34,36,2.3972602000000003,dz
Adrien Tameze,Nice,2.8038461538461537,29,976,2.8038461,cm
Rodri,Manchester City,3.4212218649517685,4,1424,3.421222,es
Jonathan Silva,Sporting CP,2.2461538461538457,63,898,2.2461537999999996,ar
Ricardinho,Marítimo,2.16256157635468,103,2607,2.1625617000000004,br
Ricardinho,Marítimo,2.16256157635468,103,2607,2.1625617000000004,pt
Jeremie Boga,Granada,2.5125,18,129,2.5125,ci
Jeremie Boga,Granada,2.5125,18,129,2.5125,ci
Federico Fazio,Salernitana,2.463576158940397,82,1972,2.4635759999999998,ar
Jimmy Cabot,Lens,3.1956521739130435,37,37,3.1956522,fr
Takehiro Tomiyasu,Arsenal,2.7489711934156382,56,100,2.7489712,jp
Takehiro Tomiyasu,Arsenal,2.7489711934156382,56,100,2.7489712,jp
Dante,Nice,2.7230769230769236,29,1650,2.7230768,br
Sérgio Oliveira,Porto,3.7288135593220337,24,1916,3.7288136,pt
Sérgio Oliveira,Porto,3.7288135593220337,24,1916,3.7288136,pt
Dimitri Foulquier,Getafe,2.4357541899441344,8,915,2.4357542999999997,fr
Dimitri Foulquier,Getafe,2.4357541899441344,8,915,2.4357542999999997,fr
Alex Oxlade-Chamberlain,Southampton,2.8736842105263163,33,1282,2.8736842,en
Álvaro Negredo,Sevilla,2.25,85,521,2.25,es
Andy Delort,Nice,2.407692307692308,29,1559,2.4076922,dz
Andy Delort,Nice,2.407692307692308,29,1559,2.4076922,dz
Jesse Lingard,Leicester City,2.404166666666667,107,1440,2.4041667,en
Lucas Cunha,Gil Vicente FC,2.762845849802372,114,2558,2.7628458,br
Josuha Guilavogui,Atlético Madrid,2.540772532188841,21,378,2.5407724,fr
Josuha Guilavogui,Atlético Madrid,2.540772532188841,21,378,2.5407724,fr
Reinildo Mandava,Atlético Madrid,2.4635193133047206,21,194,2.4635192999999997,mz
Reinildo Mandava,Atlético Madrid,2.4635193133047206,21,194,2.4635192999999997,mz
Gelson Martins,Monaco,2.6181818181818186,42,1546,2.6181817,pt
Brayann Pereira,Lens,2.843478260869565,37,1189,2.8434782000000003,fr
Maxence Caqueret,Lyon,3.0644171779141103,59,1315,3.0644171,fr
Tiago Silva,Vitória,3.4886877828054303,105,2581,3.4886877999999997,pt
Borja Mayoral,Real Madrid,2.334375,11,892,2.334375,es
Borja Mayoral,Real Madrid,2.334375,11,892,2.334375,es
Clément Grenier,Roma,2.454901960784314,60,1389,2.454902,fr
Ruan,Sassuolo,2.4715447154471546,78,2035,2.4715447,br
Dimitri Foulquier,Valencia,1.615,9,915,1.615,fr
Dimitri Foulquier,Valencia,1.615,9,915,1.615,fr
Gonzalo Escalante,Lazio,2.420494699646643,3,3,2.4204947999999997,ar
Gonzalo Escalante,Lazio,2.420494699646643,3,3,2.4204947999999997,ar
André Gomes,Lille,2.6910828025477707,32,785,2.6910827,pt
Simone Zaza,Sampdoria,2.1731843575419,84,2185,2.1731844,it
Gideon Mensah,Bordeaux,2.978902953586498,94,391,2.978903,gh
Nabil Bentaleb,Newcastle Utd,2.7309644670050766,14,33,2.7309644,dz
Andy Delort,Montpellier,2.3359375,43,1559,2.3359375,dz
Andy Delort,Montpellier,2.3359375,43,1559,2.3359375,dz
Marco Asensio,Real Madrid,3.1,11,1796,3.1,es
Chiquinho,Wolves,2.356890459363957,74,2428,2.3568903999999997,pt
Chiquinho,Wolves,2.356890459363957,74,2428,2.3568903999999997,pt
