,Player,Squad,Rating,user,player,rating
4111,Unai García,Osasuna,2.043956043956044,88,1699,2.043956
2769,Kalvin Phillips,Leeds United,3.2487804878048783,61,1141,3.2487805
920,Tom Lacoux,Bordeaux,2.5105485232067513,94,385,2.5105486
3587,Mamadou Fofana,Metz,2.390625,45,1481,2.390625
3959,Matt Targett,Newcastle Utd,2.802030456852792,14,123,2.8020306
38,Édgar Méndez,Alavés,2.173611111111111,0,14,2.1736112
4459,Xavier Chavalerin,Reims,2.538812785388128,34,1859,2.5388129
4278,Óscar Trejo,Mallorca,3.3617021276595747,5,1768,3.3617022
2983,Panagiotis Retsos,Hellas Verona,1.75,80,974,1.75
5290,Simone Zaza,Sassuolo,2.313008130081301,78,2185,2.313008
6831,Diogo Costa Rodrigues,Portimonense,1.329479768786127,112,2785,1.3294798
5217,Josip Brekalo,Wolfsburg,2.9641255605381165,55,2168,2.9641256
2667,Salih Özcan,Dortmund,2.8900709219858154,48,1097,2.890071
3223,Islam Slimani,Leicester City,2.15,107,1333,2.15
1182,Varazdat Haroyan,Cádiz,2.23841059602649,26,513,2.2384107
614,Clément Lenglet,Tottenham,3.0,31,249,3.0
6722,Flávio Ramos,Paços,2.2806122448979593,108,2721,2.2806122
1466,Grejohn Kyei,Clermont Foot,2.241206030150754,38,616,2.241206
4497,Sambou Sissoko,Reims,2.7899543378995433,34,1882,2.7899544
3042,Renato Sanches,Lille,3.535031847133758,32,1257,3.5350318
934,Mexer,Bordeaux,2.3164556962025316,94,392,2.3164556
2419,Lucas Tousart,Lyon,2.361963190184049,59,1006,2.3619633
5085,Jacopo Sala,Hellas Verona,2.4768518518518516,80,2106,2.476852
6174,Flávio Nazinho,Sporting CP,2.0615384615384613,63,2486,2.0615385
5547,Bastian Oczipka,Arminia,2.8445945945945947,46,2273,2.8445945
4822,Sebastian Giovinco,Juventus,1.688259109311741,79,2006,1.6882591
826,Mitchell Dijks,Bologna,2.5486725663716814,66,345,2.5486727
1521,Jude Bellingham,Dortmund,3.2056737588652484,48,649,3.2056737
2930,Marcelo Saracchi,Levante,2.9029126213592233,7,1215,2.9029126
4232,Iván Balliu,Metz,2.5677083333333335,45,1747,2.5677083
628,Ferrán Torres,Barcelona,2.2711267605633805,70,257,2.2711267
4430,Rafinha,Barcelona,3.26056338028169,70,1738,3.2605634
3853,Diego Demme,RB Leipzig,3.210909090909091,62,1603,3.2109091
390,Duván Zapata,Udinese,3.0253164556962027,40,154,3.0253165
4345,Karim Benzema,Real Madrid,3.359375,11,1798,3.359375
6673,Pedro Pelágio,Marítimo,2.5270935960591134,103,2698,2.5270936
3990,Melvin Bard,Lyon,2.9907975460122698,59,1646,2.9907975
400,Yuri Berchiche,Real Sociedad,2.796934865900383,28,158,2.7969348
4806,Fabio Depaoli,Atalanta,2.543307086614173,50,965,2.543307
5135,Lebo Mothiba,Troyes,2.590062111801242,35,2129,2.5900621
6643,Volnei Feltes,Estoril,2.2110552763819094,106,2678,2.2110553
3359,Fernando Niño,Mallorca,2.3085106382978724,5,1396,2.3085105
46,Loum Ndiaye,Moreirense,2.2183406113537116,23,19,2.2183406
6565,Junior Kadile,Famalicão,2.3626373626373627,1,2655,2.3626373
6746,Rodrigo Abascal,Boavista,3.027027027027027,102,2733,3.0270271
3642,Davide Calabria,Milan,2.9547169811320755,95,1510,2.954717
3726,Jean Lucas,Brest,3.017857142857143,16,1544,3.017857
5208,Cristian Ansaldi,Torino,2.9711538461538463,83,2166,2.9711537
5319,Emerson,Tottenham,2.3369565217391304,31,240,2.3369565
6645,Luciano Vega,Marítimo,2.0295566502463056,103,2679,2.0295568
2421,Marten Winkler,Hertha BSC,1.2131979695431472,89,1007,1.213198
1750,Óscar Melendo,Granada,2.19375,18,758,2.19375
6618,Jordi Mboula,Estoril,2.1608040201005023,106,1395,2.160804
5609,Jason,Getafe,2.8659217877094973,8,7,2.8659217
4062,Todd Cantwell,Norwich City,2.527173913043478,68,1666,2.527174
338,Merih Demiral,Atalanta,2.216535433070866,50,133,2.2165353
215,Nicolas Pépé,Nice,3.1576923076923076,29,93,3.1576922
3663,Olivier Giroud,Milan,2.418867924528302,95,1516,2.4188678
1341,Brais Méndez,Celta Vigo,3.0829493087557602,10,569,3.0829494
6257,Carlos Vinícius,Benfica,1.3621262458471761,65,2520,1.3621262
3894,Mário Rui,Spezia,3.203791469194313,86,1621,3.2037914
3640,Ismaël Bennacer,Empoli,3.449275362318841,101,1509,3.4492753
329,Jeremie Boga,Sassuolo,2.934959349593496,78,129,2.9349594
6264,Paulo Oliveira,Braga,2.533333333333333,22,2523,2.5333333
3004,Sven Botman,Newcastle Utd,2.8071065989847717,14,1246,2.8071065
6536,João Carlos Teixeira,Brighton,2.9315068493150687,67,2640,2.9315069
3115,Pierre-Yves Hamel,Lorient,1.9637305699481866,36,612,1.9637306
6621,Chiquinho,Estoril,2.306532663316583,106,2428,2.3065326
2322,Giangiacomo Magnani,Sampdoria,2.4022346368715084,84,972,2.4022346
4197,Edouard Michut,Paris S-G,2.968421052631579,72,1734,2.968421
3549,Arkadiusz Milik,Augsburg,2.282722513089005,91,1467,2.2827225
1458,Cédric Hountondji,Rennes,2.210526315789474,39,613,2.2105262
171,Pierre-Emerick Aubameyang,Saint-Étienne,1.9657142857142857,44,79,1.9657143
4203,Leandro Paredes,Juventus,3.4534412955465585,79,1736,3.4534414
6200,Rafa Silva,Braga,3.1523809523809523,22,2496,3.152381
3569,Ibrahim Amadou,Norwich City,2.614130434782609,68,1474,2.6141305
4226,Georginio Wijnaldum,Newcastle Utd,2.3807106598984773,14,1743,2.3807106
