Player,Nation,UrlFBref,TmPos,clubes
Youssouph Badji,sn,https://fbref.com/en/players/6a2b9aee/Youssouph-Badji,Centre-Forward,['Club NXT' 'Club Brugge' 'Charleroi' 'Brest']
Miguel Baeza,es,https://fbref.com/en/players/a98f3cbf/Miguel-Baeza,Attacking Midfield,['Celta Vigo' 'Ponferradina']
Issa Bah,lu,https://fbref.com/en/players/956a78ea/Issa-Bah,Left Winger,['Venezia']
Stéphane Bahoken,cm,https://fbref.com/en/players/5046b7d4/Stephane-Bahoken,Centre-Forward,['Nice' 'St Mirren' 'Strasbourg' 'Angers']
Leon Bailey,jm,https://fbref.com/en/players/3a233281/Leon-Bailey,Left Winger,['Genk' 'Leverkusen' 'Aston Villa']
Eric Bailly,ci,https://fbref.com/en/players/a1232f4e/Eric-Bailly,Centre-Back,['Espanyol' 'Villarreal' 'Manchester Utd']
Dénys Bain,fr,https://fbref.com/en/players/5065d67d/Denys-Bain,Centre-Back,['Châteauroux' 'Le Havre' 'Brest']
Nedim Bajrami,al,https://fbref.com/en/players/f42d6c13/Nedim-Bajrami,Attacking Midfield,['Grasshopper' 'Empoli']
Cédric Bakambu,cd,https://fbref.com/en/players/0af4dcf0/Cedric-Bakambu,Centre-Forward,['Sochaux' 'Bursaspor' 'Villarreal' 'Beijing Guoan' 'Marseille']
Abdoulaye Bakayoko,fr,https://fbref.com/en/players/ee95585f/Abdoulaye-Bakayoko,Centre-Back,['Saint-Étienne']
Tiemoué Bakayoko,fr,https://fbref.com/en/players/59bf127b/Tiemoue-Bakayoko,Defensive Midfield,['Rennes' 'Monaco' 'Chelsea' 'Milan' 'Napoli']
Mitchel Bakker,nl,https://fbref.com/en/players/a8567629/Mitchel-Bakker,Left-Back,['Ajax' 'Jong Ajax' 'Paris S-G' 'Leverkusen']
Ridle Baku,de,https://fbref.com/en/players/442b56fa/Ridle-Baku,Right-Back,['Mainz 05' 'Mainz U19' 'Wolfsburg']
Dilane Bakwa,fr,https://fbref.com/en/players/2b5a35e5/Dilane-Bakwa,Centre-Forward,['Bordeaux']
Tommaso Baldanzi,it,https://fbref.com/en/players/102e2599/Tommaso-Baldanzi,Attacking Midfield,['Empoli']
Alejandro Balde,es,https://fbref.com/en/players/5ccc9672/Alejandro-Balde,Left-Back,['Barcelona']
Ibrahima Baldé,fr,https://fbref.com/en/players/a30cb0d4/Ibrahima-Balde,Centre-Forward,['Lens']
Keita Baldé,sn,https://fbref.com/en/players/509a4ccb/Keita-Balde,Left Winger,['Lazio' 'Monaco' 'Inter' 'Sampdoria' 'Cagliari']
Gareth Bale,wl,https://fbref.com/en/players/a58bb1e1/Gareth-Bale,Right Winger,['Southampton' 'Tottenham' 'Real Madrid']
Mikel Balenziaga,es,https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga,Left-Back,['Athletic Club' 'Numancia' 'Valladolid']
Leonardo Balerdi,ar,https://fbref.com/en/players/7c3ed041/Leonardo-Balerdi,Centre-Back,['Boca Juniors' 'Dortmund' 'Marseille']
Iván Balliu,al,https://fbref.com/en/players/cee88597/Ivan-Balliu,Right-Back,['Barcelona B' 'Arouca' 'Metz' 'Almería' 'Rayo Vallecano']
Fodé Ballo-Touré,sn,https://fbref.com/en/players/f449640d/Fode-Ballo-Toure,Left-Back,['Paris S-G' 'Lille' 'Monaco' 'Milan']
Folarin Balogun,en,https://fbref.com/en/players/31822f8c/Folarin-Balogun,Centre-Forward,['Arsenal' 'Middlesbrough']
Abdoulaye Bamba,ci,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,Right-Back,['Dijon' 'Angers']
Jonathan Bamba,fr,https://fbref.com/en/players/b2bd0f6c/Jonathan-Bamba,Left Winger,['Saint-Étienne' 'Paris FC' 'Angers' 'Sint-Truiden' 'Lille']
Patrick Bamford,en,https://fbref.com/en/players/93feac6e/Patrick-Bamford,Centre-Forward,"[""Nott'ham Forest"" 'MK Dons' 'Derby County' 'Middlesbrough' 'Norwich City'
 'Crystal Palace' 'Burnley' 'Leeds United' 'Leeds Utd U23']"
Filippo Bandinelli,it,https://fbref.com/en/players/d44360be/Filippo-Bandinelli,Central Midfield,['Latina' 'Perugia' 'Benevento' 'Empoli']
